codigo,titulo,autor,descricao,preco,link_livro,link_pdf,link_epub,tem_versao_imprimivel
Código: dogipt,Título: As Doutrinas da Graça No Evangelho de João,Autor: R. Bruce Steward,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/dogipt/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=dogipt&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: doelp,Título: A doutrina da eleição,Autor: Arthur W. Pink,"Descrição: Como a doutrina da eleição é uma parte do alto tema da soberania de Deus, uma breve palavra sobre ela primeiro. Em Apocalipse 19:6 nos é dito, “o Senhor Deus onipotente reina”. No céu e na terra, Ele é o controlador e ordenador de todas as criaturas. Como o Altíssimo, Ele governa entre os exércitos dos céus e ninguém pode deter a mão ou dizer-lhe: “Que fazes?” (Jó 9:12). Ele é o todo-poderoso, que faz todas as coisas segundo o con-selho da Sua própria vontade. Ele é o Oleiro celestial, que toma conta de nossa huma-nidade caída como um pedaço de barro, e para fora dela forja um como vaso para honra e outro vaso para desonra. Em suma, Ele é o decisivo e determinante do destino de cada homem e o controlador de cada detalhe na vida de cada indivíduo, o que é apenas outra maneira de dizer que Deus é Deus.",Preço: 0.69,Link do livro: https://www.chapellibrary.org/book/doelp/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=doelp&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: beadp,Título: Anciãos e Diáconos Bíblicos,Autor: Nehemiah Coxe,"Descrição: A edificação e a beleza da igreja está em muito relacionada à sua ordem, não uma ordem do tipo que a superstição ditará, ou a controvérsia se esforçará por contender, mas tal como já descrita, que a estabelece em uma conformidade com a vontade de Cristo; e particular-mente o preenchimento dos ofícios que Ele nomeou com pessoas devidamente qualificadas para a administração deles, e a regular atuação tanto de oficiais quanto de membros, em suas respectivas posições.",Preço: 1.37,Link do livro: https://www.chapellibrary.org/book/beadp/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=beadp&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: bserf,Título: A Baptismal Sermon,Autor: Arthur W. Pink,"Descrição: In this rare sermon from 1927 taken down by shorthand in Australia, Pink presents us with a fine glimpse of our union with Christ, the meaning of Christian baptism, and the glory of the gospel.",Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/bserf/,Link do PDF: ,Link do EPUB: ,Tem versão imprimível: NÃO
Código: hlovfg,Título: A Husband's Love,Autor: Autor Desconhecido,"Descrição: With love for Christ and a burning desire to help men understand their God-ordained roles as husbands, we offer this issue of the Free Grace Broadcaster, 
A Husband’s Love. 
Matthew Henry sets the stage for the rest of the articles with his comments on Genesis 2—man’s responsibility to love his wife began in the Garden of Eden. David Martyn Lloyd-Jones then describes a Christlike love for us, since the Lord Jesus is the model from which husbands must learn how to love. What are the responsibilities of such a love? Ezekiel Hopkins gives us an overview. John Angell James then gives us a detailed survey of how Christ loved His church. In a second article, Lloyd-Jones carefully and biblically explains how men may love their wives as they love themselves. In a profound and deeply challenging article, Benjamin Palmer gives us insight into the force of love, the abuse of authority, and the affect these have on a woman’s heart. This article may be a difficult read for some, but it is worth repeated and prayerful reading. Men know well how to love themselves, and John Angell James appeals to them to apply the same to their wives. And who better than Charles Spurgeon can take the golden example of Christ loving His church and bringing it home to a husband’s heart? He does so with great power, clarity, and verve. Finally, with a heart full of Puritan fire, George Swinnock offers up a husband’s prayer for the grace to love as Christ and for the spiritual wellbeing of his dear wife. These articles will richly repay those who prayerfully apply them.",Preço: 1.78,Link do livro: https://www.chapellibrary.org/book/hlovfg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=hlovfg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=hlovfg&format=epub,Tem versão imprimível: SIM
Código: aops,Título: ABCs of Prophetic Scripture,Autor: George H. Clement,"Descrição: The ABCs of the Prophetic Scriptures 
compares the teachings of  dispensationalism with Scripture. It demonstrates that God has one glorious kingdom, prefigured in Israel, unveiled in the Church, and fulfilled in the eternal age to come. It argues that the Church of Jesus Christ is God’s spiritual Israel; that Christ’s Second Coming will be one event, marking the end of the world; and that the Tribulation, the Millennium, and the Antichrist are all representative of events that have begun to be fulfilled already in the experience of the Church, but may have yet to reach their climax before the return of Christ.",Preço: 1.78,Link do livro: https://www.chapellibrary.org/book/aops/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aops&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aops&format=epub,Tem versão imprimível: SIM
Código: aborfg,Título: Abortion ,Autor: Autor Desconhecido,Descrição: Ten insightful articles on one of the most controversial subjects of our day.  Inform yourself about the reality of abortion and God’s abundant grace that covers such great sin.,Preço: 1.64,Link do livro: https://www.chapellibrary.org/book/aborfg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aborfg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aborfg&format=epub,Tem versão imprimível: SIM
Código: buasac,"Título: Acceptable Sacrifice, The",Autor: John Bunyan,Descrição: Miscellaneous,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/buasac/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=buasac&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: ajat,Título: Adoniram Judson and the Missionary Call,Autor: Erroll Hulse,"Descrição: Adoniram Judson (1788-1850) was the first missionary to sail abroad from America in the great mission awakening that developed in the early 19
th
 century. Three principal purposes are designed in this presentation of Judson’s life and doctrine. First, there is inspiration for every reader, as Judson exemplifies Christian faith, love, self-discipline, enterprise, perseverance, and godliness. Second, Adoniram Judson set an example of total commitment to inspire missionaries in enduring the inevitable strains peculiar to their calling. Third, there is the reality of the unfinished task of reaching the yet unreached people groups of the world. May Judson’s example contribute to thrusting out many new labourers into the harvest fields.",Preço: 1.51,Link do livro: https://www.chapellibrary.org/book/ajat/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=ajat&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=ajat&format=epub,Tem versão imprimível: SIM
Código: adop,Título: Adoption,"Autor: Lee Roy Shelton, Jr.","Descrição: Adoption is one of the blessings that God has given us in Christ Jesus. ""It is taking a stranger into the relationship of a son and heir."" In adoption, God does the following three things: (1) He gives us His name; (2) He sanctifies us by His Spirit; and (3) the Holy Spirit prompts us to cry, ""Abba, Father"" (Gal 4:6). Adoption is a high honor and is a wonderful demonstration of the love of God to us.",Preço: 0.14,Link do livro: https://www.chapellibrary.org/book/adop/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=adop&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: afse,Título: Advice for Seekers,Autor: Charles H. Spurgeon,Descrição: Encouragements and exhortations for those seeking rest in the Lord Jesus by faith.,Preço: 1.92,Link do livro: https://www.chapellibrary.org/book/afse/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=afse&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=afse&format=epub,Tem versão imprimível: SIM
Código: atco,"Título: Ages to Come, The",Autor: Horatius Bonar,"Descrição: ""The ages to come!"" Are you ready for the ages to come? Death comes suddenly. Only faith in the living Christ prepares the soul for ages to come.",Preço: 0.14,Link do livro: https://www.chapellibrary.org/book/atco/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=atco&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: aode,Título: Alive or Dead?,Autor: John C. Ryle,"Descrição: J.C. Ryle’s 
Alive or Dead
 asks the question faced by every human who has ever lived: Are you among the living or the dead? In his direct and engaging style, Ryle challenges the reader to consider his own condition, and call upon God to turn him in the right direction before he “lays down this booklet.” Sections include
1. All are spiritually dead 
2. All need to be made alive
3. How a dead soul is made alive
4. Are you alive?",Preço: 0.61,Link do livro: https://www.chapellibrary.org/book/aode/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aode&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aode&format=epub,Tem versão imprimível: SIM
Código: actc,Título: All Comers to Christ Welcome,Autor: Charles H. Spurgeon,"Descrição: Charles Spurgeon begins with the comforting words of Christ, “All that the Father giveth me shall come to me.”  No greater assurance is there than in knowing that the Savior will save all those who are His.  In this tract the author counsels the reader to come to Christ alone and follow Christ alone, for it is not our “fitness” that saves but Christ’s power alone.",Preço: 0.17,Link do livro: https://www.chapellibrary.org/book/actc/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=actc&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: aogr,Título: All of Grace,Autor: Charles H. Spurgeon,"Descrição: About 
All of Grace
: “The object of this book is the salvation of the reader. He who spoke and wrote it will be greatly disappointed if it does not lead many to the Lord Jesus. It is sent forth in childlike dependence upon the power of God the Holy Ghost, to use it in the conversion of millions, if so He pleases…Reader, do you mean business in reading these pages? If so, we are agreed at the outset; but nothing short of your finding Christ and heaven is the business aimed at here. Oh that we may seek this together! I do so by dedicating this little book with prayer. Will not you join me by looking up to God, and asking him to bless you while you read?”—
C.H. Spurgeon, from Chapter One.",Preço: 3.13,Link do livro: https://www.chapellibrary.org/book/aogr/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aogr&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aogr&format=epub,Tem versão imprimível: SIM
Código: aach,Título: Almost a Christian,Autor: Matthew Meade,"Descrição: Today, many who profess Christianity ask ""How close to the world can I get and still be a Christian?"" In this excerpt from his book, Matthew Mead shows from Biblical examples just how close one can get to Christ and still not be a Christian. A must read for all who truly want to examine their own faith.",Preço: 0.09,Link do livro: https://www.chapellibrary.org/book/aach/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aach&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: aira,Título: Am I Really a Christian?,Autor: Thomas Boston,"Descrição: Though it would certainly be unkind to give false assurance of salvation to someone who has not been truly converted, it would be equally cruel to withhold comfort and assurance to a weak lamb who suffers with despair over his spiritual state. In his spiritual classic 
Human Nature in Its Fourfold State, 
Thomas Boston lists eight ""cases"" where a true Christian might have spiritual doubts about the authenticity of his faith. Such doubts, Boston notes, ""may hinder some persons from the comfortable view of their happy state."" Thus, he writes to encourage, comfort, and assure those saints who are burdened with such doubts.
 
Audio narrated by Dwayne DeSalvo",Preço: 0.43,Link do livro: https://www.chapellibrary.org/book/aira/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aira&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aira&format=epub,Tem versão imprimível: SIM
Código: buetpa,Título: An Exhortation to Peace and Unity,Autor: John Bunyan,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/buetpa/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=buetpa&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: bueotf,Título: An Exposition on the First Ten Chapters of Genesis,Autor: John Bunyan,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/bueotf/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=bueotf&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: adai,Título: Andrew Dunn: An Irish Story,Autor: Thomas Kelly,"Descrição: Redemption, forgiveness, and God’s amazing grace is the story of Andrew Dunn.  This small booklet traces the latter part of the life of Andrew Dunn, an “educated Roman Catholic” from Ireland in the mid-18
th
 century.  Although raised a Catholic, Andrew realized his ignorance of the gospel and sought help from his local priest.  Through dialogues with his priest, the reading of the Bible, and the work of the Holy Spirit, Andrew came to understand the truth of Romans 1:16:  “For I am not ashamed of the gospel of Christ:  for it is the power of God unto salvation to everyone that believeth; to the Jew first, and also to the Greek.”  This booklet is full of the transforming power of God’s gospel and will encourage your walk with Him.",Preço: 0.87,Link do livro: https://www.chapellibrary.org/book/adai/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=adai&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=adai&format=epub,Tem versão imprimível: SIM
