codigo,titulo,autor,descricao,preco,link_livro,link_pdf,link_epub,tem_versao_imprimivel
ytyas,¡Crees que estás cumpliendo condena ahora!,Billy Morrison,Tratado.,0.09,https://www.chapellibrary.org/book/ytyas/,,,SIM
waygs,¿Adónde vas?,I. C. Herendeen,Este tratado advierte a los complacientes que la eternidad se acerca. ¡Corre a Cristo mientras haya tiempo! ¿Adónde vas? ¿Cielo o infierno?,0.09,https://www.chapellibrary.org/book/waygs/,https://www.chapellibrary.org/api/books/download?code=waygs&format=pdf,,SIM
wwhis,¿A dónde? ¿A dónde?,Horatio Bonar,"¿Hacia dónde vas, hijo de la eternidad? Eres un hijo del tiempo también. Tu vida comenzó en el tiempo, y terminará en el tiempo. Pero en realidad eres un hijo de la eternidad: tu alma vivirá para siempre, y por la eternidad después de la resurrección disfrutarás de la presencia de Dios en gloria o sufrirás Su indecible ira justa en el infierno. ¿A cuál de estos destinos te diriges? ¿Adónde? ¿Adónde? Esa es la pregunta que debes responder. Cristo dio su vida perfecta y sin pecado para asegurar el camino para que aquellos destinados a la destrucción eterna vayan a la gloria eterna.",0.14,https://www.chapellibrary.org/book/wwhis/,https://www.chapellibrary.org/api/books/download?code=wwhis&format=pdf,,SIM
hsigs,¿Cómo iré a Dios?,Horatio Bonar,"""Es con nuestros pecados que nosotros vamos a Dios, porque no tenemos nada más con que ir que con lo que llamamos nuestro. Esta es una de las lecciones que tardamos en aprender; pero sin aprender ésta no podemos tomar un paso correcto en lo que nosotros llamamos una vida religiosa.""",0.17,https://www.chapellibrary.org/book/hsigs/,https://www.chapellibrary.org/api/books/download?code=hsigs&format=pdf,,SIM
hsias,¿Cómo ir a Dios?,Horatio Bonar,"¿Cómo ir a Dios?
 
 trae las buenas nuevas del Evangelio de Jesucristo en nueve mensajes cortos, cada uno desde una perspectiva diferente, invitando a los que están en este mundo a considerar cuidadosamente las afirmaciones de Dios sobre sus vidas. Estos no fueron sermones originalmente hablados, como lo es gran parte de la literatura actual de siglos anteriores; más bien, cada mensaje corto fue escrito específicamente como un tramo para captar la atención de los lectores a través del tiempo y las culturas.",1.51,https://www.chapellibrary.org/book/hsias/,https://www.chapellibrary.org/api/books/download?code=hsias&format=pdf,https://www.chapellibrary.org/api/books/download?code=hsias&format=epub,SIM
dykjs,¿Conoce usted a Jesucristo?,Jeff Pollard,"En este tratado sobre la salvación, el Pastor Pollard toma como su texto Juan 17: 3. 
Y esta es la vida eterna: que te conozcan a ti, el único Dios verdadero, y a Jesucristo, a quien has enviado.
 Él señala que simplemente saber 
sobre
 Cristo no cambiará la condición del pecador de la muerte espiritual. Para tener vida eterna, debe conocer a Cristo por experiencia personal íntima. Pollard continúa explicando el evangelio en términos de los tres oficios de Cristo. Jesús vino como profeta para que el hombre pudiera conocer la voluntad de Dios. Él vino como sacerdote para ofrecerse a sí mismo un sacrificio por los pecados de su pueblo. Y vino como el rey soberano que otorga a su pueblo la fe y el arrepentimiento que llevan a la salvación. Conclusión: 
El que tiene al Hijo, tiene la vida; el que no tiene al Hijo de Dios no tiene la vida.
 (1 Juan 5: 12).",0.09,https://www.chapellibrary.org/book/dykjs/,https://www.chapellibrary.org/api/books/download?code=dykjs&format=pdf,,SIM
wimhs,¿Cuál es mi esperanza?,Horatio Bonar,"¿Está mi esperanza puesta en las cosas de este mundo? Si es así, me decepcionaré. ¿Está mi esperanza puesta en mis propios logros? Seré el primero en decepcionarme. ¿Cuál es mi esperanza? Una esperanza segura y confianza en la bendición de Dios en este mundo y el gozo eterno por venir se encuentran únicamente en Jesús. Ha pagado el precio infinito que Dios exigía por el perdón de los pecadores y se ha asegurado la gloria eterna que anhelan nuestras almas.",0.14,https://www.chapellibrary.org/book/wimhs/,https://www.chapellibrary.org/api/books/download?code=wimhs&format=pdf,,SIM
wthis,¿Cuál ladrón?,Autor Desconhecido,"Hay miles que se olvidan de que había “dos ladrones.” Ellos recuerden la misericordia de Dios que salvó a uno mientras olvidan el juicio de Dios que le tocó al otro. Con descuido siguen vagando con la espera de ser salvos al fin; pero ai, cuántos están cortados en su pecado y son condenados para siempre. A ellos se les había presentado el evangelio muchas veces pero ellos presumían de la paciencia de Dios y lo rechazaron hasta que ya no había remedio. 
 
Te preguntamos, ¿cuál ladrón te gustaría ser? 
 
El ladrón que fue salvo creyó en el Hijo de Dios y está con Cristo ahora. El ladrón que se perdió menospreció al Salvador y está en las profundidades del sufrimiento. Tú tienes que estar con el uno o con el otro para toda la eternidad.",0.02,https://www.chapellibrary.org/book/wthis/,https://www.chapellibrary.org/api/books/download?code=wthis&format=pdf,,SIM
icyls,¿Es Cristo tu Señor?,Arthur W. Pink,"Muchas personas esperan ser salvadas por Jesucristo, el único Salvador de los pecadores. Pero las Escrituras declaran que debemos creer en Jesucristo el 
Señor
 para ser salvos del pecado. Si Jesucristo no es tu Señor, no es tu Salvador. El arrepentimiento del pecado contra el Salvador debe acompañar la fe en el Salvador.",0.09,https://www.chapellibrary.org/book/icyls/,,,SIM
iarss,¿Es realmente tan malo el aborto?,Joel Beeke,"Más de 53 millones de niños no nacidos han sido asesinados en abortos legales cometidos en los Estados Unidos y Canadá. Ciertamente, deberíamos tener una base ética sólida para sancionar legalmente el final de tantas vidas en nuestras naciones, más más de un millón cada año. Por lo tanto, examinamos los argumentos utilizados por aquellos que promueven el aborto para determinar en qué medida se basa esta práctica. Luego nos dirigimos a un tribunal de autoridad más alto que el razonamiento humano para exponer las verdades de la Palabra de Dios que están involucradas en el tema del aborto.",0.52,https://www.chapellibrary.org/book/iarss/,https://www.chapellibrary.org/api/books/download?code=iarss&format=pdf,https://www.chapellibrary.org/api/books/download?code=iarss&format=epub,SIM
aybas,¿Es usted nacido de nuevo?,J. C. Ryle,"Usando la epístola de 1 Juan, J. C. Ryle, nos da seis grandes marcas de un cristiano nacido de nuevo cuando hace estas preguntas: ¿Tiene estas características? ¿Has nacido de nuevo?",0.09,https://www.chapellibrary.org/book/aybas/,https://www.chapellibrary.org/api/books/download?code=aybas&format=pdf,,SIM
wichs,¿Qué es el cristianismo?,Mackintosh,"El tercer capitulo de Filipenses nos da el modelo de un cristiano verdadero. 
 
La posición del cristiano
 
El objetivo del cristiano
 
La esperanza del cristiano",0.04,https://www.chapellibrary.org/book/wichs/,https://www.chapellibrary.org/api/books/download?code=wichs&format=pdf,,SIM
wifrs,¿Qué es la libertad?,Billy Morrison,"Escribiendo desde una prisión en Irlanda del Norte, Billy Morrison analiza la libertad desde la perspectiva de un prisionero. Señala que la liberación de la prisión nunca traerá la libertad real. Simplemente será la liberación de la esclavitud física de una celda de prisión, pero no de la esclavitud espiritual del pecado, bajo la cual todo ser humano vive desde su nacimiento. Continúa describiendo la verdadera libertad que Dios misericordiosamente proporciona. El regalo de Dios de la libertad nos libera de nuestra esclavitud mortal del pecado. “Cuando Jesús vino a esta tierra, vino a liberar a todos aquellos que se arrepientan y crean en el evangelio (Marcos 1:15), para liberarlos de la esclavitud del pecado y todo lo que esto trae”.",0.06,https://www.chapellibrary.org/book/wifrs/,https://www.chapellibrary.org/api/books/download?code=wifrs&format=pdf,,SIM
wii2s,¿Qúe es lo que salva un alma?,Joseph Charles Philpot,"J. C. Philpot describe la salvación del pecado como ""un acto fuera de nosotros"" y como ""un acto en nosotros"", como la obra de Cristo considerada en cómo restaura la relación de Su pueblo con Dios y transforma sus corazones y vidas.",0.96,https://www.chapellibrary.org/book/wii2s/,https://www.chapellibrary.org/api/books/download?code=wii2s&format=pdf,https://www.chapellibrary.org/api/books/download?code=wii2s&format=epub,SIM
wiabs,¿Qué es un cristiano bíblico?,Albert N. Martin,"¿Qué es un cristiano bíblico? 
 
 es una investigación puntual y extremadamente útil sobre el verdadero estado del alma. El autor se pregunta: “De acuerdo a las Escrituras, ¿Cuándo tiene un hombre, mujer, niño o niña derecho al nombre de 
cristiano
? Uno no debe asumir a la ligera que él o ella es un verdadero cristiano. Una conclusión falsa en este punto es trágica y fatal. Por lo tanto, quiero presentarles cuatro líneas de la respuesta de la Biblia a la pregunta: 
 ¿Qué es un cristiano bíblico? 
 
 
 
 Albert N. Martin 
 servido durante cuarenta y seis años, de 1962 a 2008, como pastor de la Iglesia Bautista Trinity de Montville, New Jersey. Su ministerio de enseñanza es conocido por la exposición completa y poderosa de la Palabra de Dios. Hoy sirve en el ministerio de escribir y conferencias desde su casa en Michigan.",0.52,https://www.chapellibrary.org/book/wiabs/,https://www.chapellibrary.org/api/books/download?code=wiabs&format=pdf,https://www.chapellibrary.org/api/books/download?code=wiabs&format=epub,SIM
